name,address,Crypto API,Crypto Task,Scheme,balance,compiler,txcount2
NFTArtGenPresale,0xbBB9f8296c31c848beE8a8564Cb90F5635DB6BF5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,4
PIXELFROG,0x02f30927eB29F3f66031517bB3dE3948f32ee019,sha3;,Random Number Generator,sha3,6.09 Ether,0.8.7,128
CrabStrategy,0xf205ad80bb86ac92247638914265887a8baa437d,sha3;,Solidity(Create2),sha3,0 Ether,0.7.6,5
FunnyApeClub,0xb7c31ac2f96797518b92706654f773a466de4752,sha3;,Random Number Generator,sha3,0 Ether,0.7.6,92
GalleryTwentySeven,0x6f051b2B1765eDB6A892be7736C04AaB0468AF27,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,1
BoostPasses,0xd46550dc5cb0ff6e4d904926917fe31a73bb336f,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,4
CoolMonkeBanana,0xc6db556fd9ec09bab6dfea320e52d8476f61d424,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.8.11,3
FloorToken,0x1b8aB0b410f54aE0a24320e6188E3Ec20A6c609a,sha3;,Commitment(Vector),sha3,0 Ether,0.8.6,3
AStETH,0xbd233D4ffdAA9B7d1d3E6b18CCcb8D091142893a,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
FundDeployer,0x4f1C53F096533C04d8157EFB6Bca3eb22ddC6360,sha3;,Message Digest,sha3,0 Ether,0.6.12,5
FundDeployer,0x4f1C53F096533C04d8157EFB6Bca3eb22ddC6360,sha3;,Solidity(Selector),sha3,0 Ether,0.6.12,5
FaithMerkleAirdrop,0x1b44a9a94f2bb14eeF0ded2f0428231e358d31d7,sha3;,Commitment(Vector),sha3,0 Ether,0.8.4,25
CnRERC721,0x9e62A8DBBAf93a6992166e3a80aC15c991987bf5,sha3;,Commitment(Vector),sha3,0 Ether,0.8.10,3
BubblesAirdrop,0x184FAe65b0D0bBbA559326FEb7D9FCC6e8f31df7,sha3;,Commitment(Vector),sha3,0 Ether,0.8.10,1
TreasureChest,0x71ac0bac4a1ad6a4b50ff51ab6b720e3be005ffe,sha3;,Random Number Generator,sha3,0 Ether,0.8.0,3
test,0x26b4c9265f5b5a367bb85c9ef048908a72c4261b,sha3;,Message Digest,sha3,0.05 Ether,0.8.7,3
Synthetix,0x97607b048aEa97A821C3EdC881aF7743f8868950,sha3;,Solidity(Selector),sha3,0 Ether,0.5.16,2
ConsoleNFT_Cyber_Upgrades,0xe5a6575a0daa9ef683fab5583e234c4a6698bf05,sha3;,Other(VRF),sha3,32.45 Ether,0.8.7,885
HeroGalaxy,0xD77e17Ecc3942B6E83F67c56999C5230c70A85a4,sha3;ecrecover;,Signature,ecdsa+sha3,66.378 Ether,0.8.11,680
DoodlesCats,0x203f1a71114706aAFf0911d56F5a3Ab8fF614573,sha3;,Commitment(Vector),sha3,0.0195 Ether,0.8.7,12
WavelengthXmfers,0xaec4ea20cff1897cdf8b7be329b0e2d1d49b9817,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,125
CREDITs,0x7C7828f8A3AEFcB8Bb09740845F2A085d35ee7F8,sha3;ecrecover;,Signature,ecdsa+sha3,1.52 Ether,0.8.11,23
MintablePresale,0x4Da61915800Bb27500b66849944702B5D636D4C1,sha3;,Commitment(Vector),sha3,267 Ether,0.8.11,1021
CrypTicket,0xc2cfbd487fe9c42aa5a92c222261b1ad8fdfc6f1,sha3;,Commitment(Vector),sha3,0 Ether,0.8.7,41
DeluxeGoatPublicSaleContract,0x9e4710a9745161Cd89a854ae8bfce2bC1C2B0398,sha3;,Commitment(Vector),sha3,0 Ether,0.8.12,249
PendleMerkleDistributor,0x08c317D3F9D05B84cBA33876F1DbC7617954C2F0,sha3;,Commitment(Vector),sha3,0 Ether,0.7.6,3
ERC721OrdersFeature,0x4aF649FFde640CEb34b1AfaBa3e0Bb8e9698cb01,sha3;ecrecover;,Signature,ecdsa+sha3,0 Ether,0.6.12,1
